Country,Continent,noRecords,Devices,Tests,uSpeed,dSpeed,latMs,avgPop,rankUpload,rankDownload,rankLatency
Congo,Africa,412,2514,6098,8685,28207,18,3609851,175,134,163
Cook Islands,Oceania,33,60,115,7602,16429,115,13984,187,169,22
Costa Rica,Americas,10313,134933,488451,20861,40977,22,4327228,113,104,141
Cote d'Ivoire,Africa,680,3220,12813,10688,32505,40,18584701,153,126,79
Croatia,Europe,16140,72572,226502,21838,40424,25,455149,106,105,131
Cuba,Americas,562,1094,3025,2397,3681,177,11259905,228,232,17
Cyprus,Asia,5265,41520,126317,13870,36165,20,836321,139,112,148
Czech Republic,Europe,29306,80147,261804,27274,51849,19,10191762,85,92,157
Denmark,Europe,35405,114400,368697,127875,164447,11,5416945,10,12,219
Djibouti,Africa,56,262,833,11490,11941,36,804206,150,198,93
Dominica,Americas,134,364,1385,49842,64275,12,67827,49,76,209
Dominican Republic,Americas,9401,102407,371676,7118,15265,28,9469601,191,177,117
Ecuador,Americas,25205,199364,706774,29405,29909,18,13060993,75,130,163
Egypt,Africa,29793,293713,1275770,5180,15923,42,72849793,211,175,72
El Salvador,Americas,4976,57379,235918,5485,16443,26,6668356,208,168,124
Equatorial Guinea,Africa,117,220,802,4383,5724,95,484098,221,227,30
Eritrea,Africa,12,18,93,658,3659,708,4526722,236,233,7
Estonia,Europe,5438,15923,42843,53788,68222,16,1344312,43,73,181
Ethiopia,Africa,1248,4305,14523,7822,8187,42,78985857,184,217,72
Falkland Islands (Malvinas),Americas,20,50,94,1365,3542,845,2975,235,234,1
Faroe Islands,Europe,373,926,2217,30003,53196,16,48205,74,89,181
Fiji,Oceania,461,1093,3434,9648,16647,50,828046,162,167,56
Finland,Europe,33187,82130,247329,54081,111940,20,5246004,42,42,148
France,Europe,174303,454489,1412580,127740,162817,26,60990544,11,15,124
French Guiana,Americas,247,558,1518,87864,109201,54,192099,24,44,52
French Polynesia,Oceania,572,3291,12152,6721,20111,48,255632,199,156,59
Gabon,Africa,551,3343,11611,8871,25968,20,1290693,169,139,148
Gambia,Africa,245,776,3921,4632,7705,86,1617029,217,219,35
Georgia,Asia,4387,18013,44231,21692,21292,15,4473409,107,150,189
Germany,Europe,238303,830981,2813143,28381,94331,18,82652369,78,50,163
Ghana,Africa,1634,3904,13613,22602,31668,43,2253501,100,128,69
Gibraltar,Europe,31,850,2547,92330,132933,15,291,23,29,189
Greece,Europe,32624,262491,952169,5361,25137,35,11099737,209,142,96
Greenland,Americas,279,1087,2667,11812,28073,61,57475,148,136,43
Grenada,Americas,345,978,2567,24345,87113,15,105237,93,53,189
Guadeloupe,Americas,905,2273,6340,81796,108476,45,438403,26,46,64
Guam,Oceania,480,3023,9138,5991,48375,19,16857,204,95,157
Guatemala,Americas,8183,86471,361279,8460,18401,30,12709564,178,164,111
Guernsey,Europe,343,2269,7787,8508,34423,35,0,177,118,96
Guinea,Africa,57,108,285,7075,11219,76,9002656,192,203,37
Guinea-Bissau,Africa,32,50,216,4257,7170,149,1596929,223,222,20
Guyana,Americas,941,4751,18524,12393,32300,37,739472,145,127,90
Haiti,Americas,740,1885,7403,8710,16170,34,9296291,174,173,103
Holy See (Vatican City),Europe,6,495,1295,63560,134817,13,783,35,26,206
Honduras,Americas,5191,39514,142416,11125,19659,25,683411,152,158,131
Hong Kong,Asia,1508,124487,555009,144949,193872,12,7057418,7,4,209
Hungary,Europe,30767,121477,363947,73014,135757,18,10086387,30,23,163
Iceland,Europe,2142,7270,14135,159245,179697,10,295732,5,9,222
India,Asia,236513,2340615,8925707,49400,45943,20,1134403141,51,99,148
Indonesia,Asia,158651,1162458,4621860,9433,15945,22,226063044,164,174,141
Iran (Islamic Republic of),Asia,21499,101816,331327,5251,12917,47,69420607,210,187,61
Iraq,Asia,15282,61554,208142,19747,20641,23,27995984,117,153,137
Ireland,Europe,45230,132237,464555,28094,103785,22,4143294,79,47,141
Isle of Man,Europe,643,3383,10279,17937,70025,27,78357,124,69,120
Israel,Asia,8312,114154,405679,31561,132002,15,6692037,69,31,189
Italy,Europe,200443,1058950,3704137,24006,57567,29,5864636,96,82,114
Jamaica,Americas,4950,20101,61886,24254,34204,27,2682469,94,122,120
Japan,Asia,89628,336125,1348607,128640,163755,21,127896740,9,14,145
Jersey,Europe,478,2613,7705,157541,159687,4,0,6,16,238
Jordan,Asia,5733,112009,410365,45953,55147,26,5544066,53,87,124
Kazakhstan,Asia,17913,75508,216249,25681,28101,32,15210609,91,135,106
Kenya,Africa,4654,20282,97809,12945,12622,34,35598952,142,190,103
